# omp v18.1.8 596f2da7101178214aa27a753529d15e6b7ad91d
path	bytes	lines	role	surface
crates/pi-builtins/src/sort.rs	169097	5732	src	CRATE-PI-SHELL
crates/pi-builtins/src/sponge.rs	8780	280	src	CRATE-PI-SHELL
crates/pi-builtins/src/stat.rs	95406	3065	src	CRATE-PI-SHELL
crates/pi-builtins/src/suspend.rs	893	34	src	CRATE-PI-SHELL
crates/pi-builtins/src/tac.rs	14318	517	src	CRATE-PI-SHELL
crates/pi-builtins/src/tail.rs	120526	3823	src	CRATE-PI-SHELL
crates/pi-builtins/src/tee.rs	13755	493	src	CRATE-PI-SHELL
crates/pi-builtins/src/test.rs	1879	68	src	CRATE-PI-SHELL
crates/pi-builtins/src/timeout.rs	22231	682	src	CRATE-PI-SHELL
crates/pi-builtins/src/times.rs	968	36	src	CRATE-PI-SHELL
crates/pi-builtins/src/top.rs	16464	621	src	CRATE-PI-SHELL
crates/pi-builtins/src/touch.rs	32834	1090	src	CRATE-PI-SHELL
crates/pi-builtins/src/tr.rs	32570	1180	src	CRATE-PI-SHELL
crates/pi-builtins/src/trap.rs	3305	111	src	CRATE-PI-SHELL
crates/pi-builtins/src/true_.rs	1028	39	src	CRATE-PI-SHELL
crates/pi-builtins/src/truncate.rs	18351	586	src	CRATE-PI-SHELL
crates/pi-builtins/src/ts.rs	13473	449	src	CRATE-PI-SHELL
crates/pi-builtins/src/type_.rs	5481	218	src	CRATE-PI-SHELL
crates/pi-builtins/src/ulimit.rs	15698	501	src	CRATE-PI-SHELL
crates/pi-builtins/src/umask.rs	5369	211	src	CRATE-PI-SHELL
crates/pi-builtins/src/unalias.rs	927	39	src	CRATE-PI-SHELL
crates/pi-builtins/src/uname.rs	8604	309	src	CRATE-PI-SHELL
crates/pi-builtins/src/unimp.rs	923	34	src	CRATE-PI-SHELL
crates/pi-builtins/src/uniq.rs	31719	1094	src	CRATE-PI-SHELL
crates/pi-builtins/src/unset.rs	4167	145	src	CRATE-PI-SHELL
crates/pi-builtins/src/wait.rs	5373	183	src	CRATE-PI-SHELL
crates/pi-builtins/src/wc.rs	45889	1654	src	CRATE-PI-SHELL
crates/pi-builtins/src/which.rs	7234	216	src	CRATE-PI-SHELL
crates/pi-builtins/src/whoami.rs	3409	130	src	CRATE-PI-SHELL
crates/pi-builtins/src/xargs.rs	41277	1534	src	CRATE-PI-SHELL
crates/pi-builtins/src/yes.rs	11840	395	src	CRATE-PI-SHELL
crates/pi-diff/BUILD.bazel	671	0	other	CRATE-PI-EDIT
crates/pi-diff/Cargo.toml	172	10	other	CRATE-PI-EDIT
crates/pi-diff/src/lib.rs	29813	992	src	CRATE-PI-EDIT
crates/pi-edit/BUILD.bazel	948	0	other	CRATE-PI-EDIT
crates/pi-edit/Cargo.toml	532	27	other	CRATE-PI-EDIT
crates/pi-edit/grammars/apply_patch.lark	578	0	other	CRATE-PI-EDIT
crates/pi-edit/grammars/hashline.lark	717	0	other	CRATE-PI-EDIT
crates/pi-edit/grammars/sloppy.lark	1075	0	other	CRATE-PI-EDIT
crates/pi-edit/prompts/apply_patch.md	2112	64	prompt	CRATE-PI-EDIT
crates/pi-edit/prompts/hashline.md	5268	135	prompt	CRATE-PI-EDIT
crates/pi-edit/prompts/patch.md	2765	57	prompt	CRATE-PI-EDIT
crates/pi-edit/prompts/replace.md	1145	32	prompt	CRATE-PI-EDIT
crates/pi-edit/prompts/sloppy.md	5876	163	prompt	CRATE-PI-EDIT
crates/pi-edit/src/diff_string.rs	44428	1504	src	CRATE-PI-EDIT
crates/pi-edit/src/engine.rs	7508	226	src	CRATE-PI-EDIT
crates/pi-edit/src/error.rs	2074	66	src	CRATE-PI-EDIT
crates/pi-edit/src/files.rs	6537	208	src	CRATE-PI-EDIT
crates/pi-edit/src/fuzzy.rs	46875	1573	src	CRATE-PI-EDIT
crates/pi-edit/src/lib.rs	2766	67	src	CRATE-PI-EDIT
crates/pi-edit/src/modes/apply_patch.rs	14890	545	src	CRATE-PI-EDIT
crates/pi-edit/src/modes/hashline/apply.rs	31975	1132	src	CRATE-PI-EDIT
crates/pi-edit/src/modes/hashline/block.rs	9370	332	src	CRATE-PI-EDIT
crates/pi-edit/src/modes/hashline/clipboard.rs	6796	253	src	CRATE-PI-EDIT
crates/pi-edit/src/modes/hashline/format.rs	4199	125	src	CRATE-PI-EDIT
crates/pi-edit/src/modes/hashline/input.rs	14412	456	src	CRATE-PI-EDIT
crates/pi-edit/src/modes/hashline/messages.rs	41720	1074	src	CRATE-PI-EDIT
crates/pi-edit/src/modes/hashline/mismatch.rs	3508	109	src	CRATE-PI-EDIT
crates/pi-edit/src/modes/hashline/mod.rs	4774	173	src	CRATE-PI-EDIT
crates/pi-edit/src/modes/hashline/parser.rs	24947	854	src	CRATE-PI-EDIT
crates/pi-edit/src/modes/hashline/patcher.rs	14130	431	src	CRATE-PI-EDIT
crates/pi-edit/src/modes/hashline/prefixes.rs	5400	162	src	CRATE-PI-EDIT
crates/pi-edit/src/modes/hashline/preview.rs	6786	232	src	CRATE-PI-EDIT
crates/pi-edit/src/modes/hashline/recovery.rs	10099	343	src	CRATE-PI-EDIT
crates/pi-edit/src/modes/hashline/syntax.rs	3454	120	src	CRATE-PI-EDIT
crates/pi-edit/src/modes/hashline/tokenizer.rs	17465	608	src	CRATE-PI-EDIT
crates/pi-edit/src/modes/hashline/types.rs	4483	160	src	CRATE-PI-EDIT
crates/pi-edit/src/modes/mod.rs	841	27	src	CRATE-PI-EDIT
crates/pi-edit/src/modes/patch.rs	49542	1715	src	CRATE-PI-EDIT
crates/pi-edit/src/modes/replace.rs	7135	276	src	CRATE-PI-EDIT
crates/pi-edit/src/modes/sloppy/apply.rs	75131	2520	src	CRATE-PI-EDIT
crates/pi-edit/src/modes/sloppy/mod.rs	5593	209	src	CRATE-PI-EDIT
crates/pi-edit/src/modes/sloppy/parse.rs	62079	2032	src	CRATE-PI-EDIT
crates/pi-edit/src/modes/sloppy/types.rs	4977	154	src	CRATE-PI-EDIT
crates/pi-edit/src/notebook.rs	19819	618	src	CRATE-PI-EDIT
crates/pi-edit/src/path_policy.rs	20171	704	src	CRATE-PI-EDIT
crates/pi-edit/src/session.rs	15271	483	src	CRATE-PI-EDIT
crates/pi-edit/src/store.rs	14089	478	src	CRATE-PI-EDIT
crates/pi-edit/src/stream_json.rs	18942	744	src	CRATE-PI-EDIT
crates/pi-edit/src/text.rs	12883	480	src	CRATE-PI-EDIT
crates/pi-edit/tests/apply_patch.rs	5641	186	test	CRATE-PI-EDIT
crates/pi-edit/tests/apply_patch_parity.rs	28127	891	test	CRATE-PI-EDIT
crates/pi-edit/tests/common/mod.rs	11802	362	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/core.json	1533	32	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/parity_envelope.json	3977	15	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/.gitattributes	15	0	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/001_add_file/expected/bar.md	19	1	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/001_add_file/patch.txt	71	4	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/003_multiple_chunks/expected/multi.txt	30	4	test	CRATE-PI-EDIT
